#
#Atlantis2 Updated to Version 6536
#
#
#
#Atlantis path https://svnserv.csiro.au/svn/ext/atlantis/Atlantis/trunk/atlantis Relative ^/Atlantis/trunk/atlantis
#
#
#
#Atlantis SVN Last Change Date 2020-11-17 00:11:57 +0000 (Tue, 17 Nov 2020)

# Log file for run of Atlantis - only ecological errors and important events are recorded here #
# Key to indices used in Atlantis, which may appear in logged errors here:
atlantisMerged -i neus_init.nc 0 -o neus_output.nc -r at_run.prm -f at_force_LINUX.prm -p at_physics.prm -b at_biology.prm -h at_harvest.prm -e at_economics.prm -s neus_groups.csv -q neus_fisheries.csv -t . -d Master_12152020
Counter: 36, sp: BFT-1, MigrateAway: 13141, MigrateBack: 13335 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 37, sp: BFT-1, MigrateAway: 13506, MigrateBack: 13700 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 38, sp: BFT-1, MigrateAway: 13871, MigrateBack: 14065 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 39, sp: BFT-1, MigrateAway: 14236, MigrateBack: 14430 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 40, sp: BFT-1, MigrateAway: 14601, MigrateBack: 14795 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 41, sp: BFT-1, MigrateAway: 14966, MigrateBack: 15160 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 42, sp: BFT-1, MigrateAway: 15331, MigrateBack: 15525 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 43, sp: BFT-1, MigrateAway: 15696, MigrateBack: 15890 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 44, sp: BFT-1, MigrateAway: 16061, MigrateBack: 16255 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 45, sp: BFT-1, MigrateAway: 16426, MigrateBack: 16620 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 46, sp: BFT-1, MigrateAway: 16791, MigrateBack: 16985 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 47, sp: BFT-1, MigrateAway: 17156, MigrateBack: 17350 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 48, sp: BFT-1, MigrateAway: 17521, MigrateBack: 17715 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 49, sp: BFT-1, MigrateAway: 17886, MigrateBack: 18080 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 50, sp: BFT-1, MigrateAway: 18251, MigrateBack: 18445 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 51, sp: BFT-1, MigrateAway: 18616, MigrateBack: 18810 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 52, sp: BFT-1, MigrateAway: 18981, MigrateBack: 19175 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
