Code,Functional_Group,Species,Scientific_Name,SVSPP,NESPP3,Species_Itis,isFishedSpecies
PSH,Other pelagic sharks,Spinner shark,CARCHARHINUS BREVIPINNA,NA,488,160401,FALSE
PSH,Other pelagic sharks,Threshr bgeye shark,ALOPIAS SUPERCILIOSUS,NA,354,159921,FALSE
PSH,Other pelagic sharks,Whitetip oc shark,CARCHARHINUS LONGIMANUS,NA,490,160330,FALSE
QHG,Ocean quahog,Ocean quahog,ARCTICA ISLANDICA,409,754,81343,TRUE
RCB,Red deep-sea crab,Red deep-sea crab,CHACEON QUINQUEDENS,310,710,620992,TRUE
RED,Acadian redfish,Acadian redfish,SEBASTES FASCIATUS,155,240,166774,TRUE
REP,Marine turtles,Green seaturtle,CHELONIA MYDAS,951,809,173833,FALSE
REP,Marine turtles,Hawksbill seaturtle,ERETMOCHELYS IMBRICATA,953,814,173836,FALSE
REP,Marine turtles,Kemp’s Ridley seaturtle,LEPIDOCHELYS KEMPI,954,810,551770,FALSE
REP,Marine turtles,Leatherback seaturtle,DERMOCHELYS CORIACEA,952,812,173843,FALSE
REP,Marine turtles,Loggerhead seaturtle,CARETTA CARETTA,950,813,173830,FALSE
REP,Marine turtles,Olive Ridley seaturtle,LEPIDOCHELYS OLIVACEA,NA,818,173840,FALSE
REP,Marine turtles,Turtles unclassified,TESTUDINES,NA,816,173749,FALSE
REP,Marine turtles,Snapper turtle,CHELYDRA SERPENTINA,NA,815,173752,FALSE
RHK,Red hake,Red hake,UROPHYCIS CHUSS,77,152,164730,TRUE
RWH,Right whales,Right whales,NA,NA,NA,NA,TRUE
SAL,Atlantic salmon,Atlantic salmon,SALMO SALAR,894,305,161996,TRUE
SB,Seabirds,Seabirds,NA,NA,NA,NA,TRUE
SCA,Sea scallop,Sea scallop,PLACOPECTEN MAGELLANICUS,401,800,79718,TRUE
