Species,Cohort,Nums.Value,
235,Misc_Demersal_Fish,4,120775764.9507
236,Misc_Demersal_Fish,5,77010027.7628
237,Misc_Demersal_Fish,6,49103761.6552
238,Misc_Demersal_Fish,7,31309940.78104
239,Misc_Demersal_Fish,8,19964099.66828
240,Misc_Demersal_Fish,9,12729671.97101
241,Misc_Demersal_Fish,10,8116797.20936
242,Monkfish,1,3880069.19346
243,Monkfish,2,2474041.34795
244,Monkfish,3,1577518.411705
245,Monkfish,4,1005870.149091
246,Monkfish,5,641371.123925
247,Monkfish,6,408956.284229
248,Monkfish,7,260762.039602
249,Monkfish,8,166269.2173333
250,Monkfish,9,106017.9337153
251,Monkfish,10,67600.0191185
252,Ocean_Pout,1,465883519.171
253,Ocean_Pout,2,297060447.1911
254,Ocean_Pout,3,189414103.8626
255,Ocean_Pout,4,120775764.9507
256,Ocean_Pout,5,77010027.7628
257,Ocean_Pout,6,49103761.6552
258,Ocean_Pout,7,31309940.78104
259,Ocean_Pout,8,19964099.66828
260,Ocean_Pout,9,12729671.97101
261,Ocean_Pout,10,8116797.20936
262,Offshore_Hake,1,465883519.171
263,Offshore_Hake,2,297060447.1911
264,Offshore_Hake,3,189414103.8626
265,Offshore_Hake,4,120775764.9507
266,Offshore_Hake,5,77010027.7628
267,Offshore_Hake,6,49103761.6552
268,Offshore_Hake,7,31309940.78104
269,Offshore_Hake,8,19964099.66828
270,Offshore_Hake,9,12729671.97101
271,Offshore_Hake,10,8116797.20936
272,Other_Flatfish,1,106249568.8021
273,Other_Flatfish,2,67747716.1667
274,Other_Flatfish,3,43197851.0383
275,Other_Flatfish,4,27544165.90885
276,Other_Flatfish,5,17562935.59648
277,Other_Flatfish,6,11198622.16181
278,Other_Flatfish,7,7140556.74965
279,Other_Flatfish,8,4553020.00198
280,Other_Flatfish,9,2903133.728179
281,Other_Flatfish,10,1851119.792992
282,Pelagic_Shark,1,19967.9128225
283,Pelagic_Shark,2,12732.1033451
284,Pelagic_Shark,3,8118.3475229
285,Pelagic_Shark,4,5176.4869245
286,Pelagic_Shark,5,3300.6737895
287,Pelagic_Shark,6,2104.6025278
288,Pelagic_Shark,7,1341.95381971
289,Pelagic_Shark,8,855.66753362
290,Pelagic_Shark,9,545.59770784
291,Pelagic_Shark,10,347.88845796
292,Pinniped,1,36726.716018075
293,Pinniped,2,23417.988050343
294,Pinniped,3,14931.968434088
295,Pinniped,4,9521.043428432
296,Pinniped,5,6070.885325199
297,Pinniped,6,3870.967388506
298,Pinniped,7,2468.237780879
299,Pinniped,8,1573.817894363
300,Pinniped,9,1003.510595024
301,Pinniped,10,639.866605666
302,Plaice,1,106249568.8021
303,Plaice,2,67747716.1667
304,Plaice,3,43197851.0383
305,Plaice,4,27544165.90885
306,Plaice,5,17562935.59648
307,Plaice,6,11198622.16181
308,Plaice,7,7140556.74965
309,Plaice,8,4553020.00198
310,Plaice,9,2903133.728179
311,Plaice,10,1851119.792992
312,Pollock,1,465883519.171
313,Pollock,2,297060447.1911
314,Pollock,3,189414103.8626
315,Pollock,4,120775764.9507
316,Pollock,5,77010027.7628
317,Pollock,6,49103761.6552
318,Pollock,7,31309940.78104
319,Pollock,8,19964099.66828
320,Pollock,9,12729671.97101
321,Pollock,10,8116797.20936
322,Porbeagle_Shark,1,19967.9128225
323,Porbeagle_Shark,2,12732.1033451
324,Porbeagle_Shark,3,8118.3475229
325,Porbeagle_Shark,4,5176.4869245
326,Porbeagle_Shark,5,3300.6737895
327,Porbeagle_Shark,6,2104.6025278
328,Porbeagle_Shark,7,1341.95381971
329,Porbeagle_Shark,8,855.66753362
330,Porbeagle_Shark,9,545.59770784
331,Porbeagle_Shark,10,347.88845796
332,Red_Hake,1,465883519.171
333,Red_Hake,2,297060447.1911
334,Red_Hake,3,189414103.8626
335,Red_Hake,4,120775764.9507
336,Red_Hake,5,77010027.7628
337,Red_Hake,6,49103761.6552
338,Red_Hake,7,31309940.78104
339,Red_Hake,8,19964099.66828
340,Red_Hake,9,12729671.97101
341,Red_Hake,10,8116797.20936
342,Redfish,1,465883519.171
343,Redfish,2,297060447.1911
344,Redfish,3,189414103.8626
345,Redfish,4,120775764.9507
346,Redfish,5,77010027.7628
347,Redfish,6,49103761.6552
348,Redfish,7,31309940.78104
349,Redfish,8,19964099.66828
350,Redfish,9,12729671.97101
351,Redfish,10,8116797.20936
352,Right_Whale,1,541.89113787
353,Right_Whale,2,345.525044595
354,Right_Whale,3,220.316495537
355,Right_Whale,4,140.479999812
356,Right_Whale,5,89.574002613
357,Right_Whale,6,57.114905727
358,Right_Whale,7,36.418071762
359,Right_Whale,8,23.221187792
360,Right_Whale,9,14.806483041
361,Right_Whale,10,9.441030414
362,Sandbar_Shark,1,2730006.9017558
363,Sandbar_Shark,2,1740729.254641
364,Sandbar_Shark,3,1109937.97701
365,Sandbar_Shark,4,707727.70073877
366,Sandbar_Shark,5,451267.10566944
367,Sandbar_Shark,6,287740.61045373
368,Sandbar_Shark,7,183471.51361081
369,Sandbar_Shark,8,116986.60209699
370,Sandbar_Shark,9,74593.95085795
371,Sandbar_Shark,10,47563.203015008
372,Scup,1,465883519.171
373,Scup,2,297060447.1911
374,Scup,3,189414103.8626
375,Scup,4,120775764.9507
376,Scup,5,77010027.7628
377,Scup,6,49103761.6552
378,Scup,7,31309940.78104
379,Scup,8,19964099.66828
380,Scup,9,12729671.97101
381,Scup,10,8116797.20936
382,Seabird,1,402169.757015
383,Seabird,2,256434.758831
384,Seabird,3,163510.021264
385,Seabird,4,104258.592634
386,Seabird,5,66478.213706
387,Seabird,6,42388.3805285
388,Seabird,7,27028.0247235
389,Seabird,8,17233.8294493
390,Seabird,9,10988.7748169
391,Seabird,10,7006.7521748
392,Shallow_Demersal_Fish,1,18984158.61653
393,Shallow_Demersal_Fish,2,12104833.96705
394,Shallow_Demersal_Fish,3,7718382.90888
395,Shallow_Demersal_Fish,4,4921458.22778
396,Shallow_Demersal_Fish,5,3138060.312977
397,Shallow_Demersal_Fish,6,2000915.597075
398,Shallow_Demersal_Fish,7,1275840.113636
399,Shallow_Demersal_Fish,8,813511.573378
400,Shallow_Demersal_Fish,9,518717.88087
401,Shallow_Demersal_Fish,10,330749.1236041
402,Silver_Hake,1,247648311.429
403,Silver_Hake,2,157907535.064
404,Silver_Hake,3,100686289.7086
405,Silver_Hake,4,64200412.8028
406,Silver_Hake,5,40935990.5469
407,Silver_Hake,6,26101939.9876
408,Silver_Hake,7,16643331.7489
409,Silver_Hake,8,10612256.85913
410,Silver_Hake,9,6766673.72579
411,Silver_Hake,10,4314621.66038
412,Small_Whale,1,12933.1591972
413,Small_Whale,2,8246.5463933
414,Small_Whale,3,5258.2301342
415,Small_Whale,4,3352.79556085
416,Small_Whale,5,2137.8368366
417,Small_Whale,6,1363.14495052
418,Small_Whale,7,869.17959525
419,Small_Whale,8,554.21337865
420,Small_Whale,9,353.38205232
421,Small_Whale,10,225.326344799
422,Smooth_Dogfish,1,2730006.9017558
423,Smooth_Dogfish,2,1740729.254641
424,Smooth_Dogfish,3,1109937.97701
425,Smooth_Dogfish,4,707727.70073877
426,Smooth_Dogfish,5,451267.10566944
427,Smooth_Dogfish,6,287740.61045373
428,Smooth_Dogfish,7,183471.51361081
429,Smooth_Dogfish,8,116986.60209699
430,Smooth_Dogfish,9,74593.95085795
431,Smooth_Dogfish,10,47563.203015008
432,Spiny_Dogfish,1,128419234.0123
433,Spiny_Dogfish,2,81883718.804
434,Spiny_Dogfish,3,52211364.27583
435,Spiny_Dogfish,4,33291435.6952
436,Spiny_Dogfish,5,21227556.60708
437,Spiny_Dogfish,6,13535287.68296
438,Spiny_Dogfish,7,8630480.46715
439,Spiny_Dogfish,8,5503037.30737
440,Spiny_Dogfish,9,3508891.506856
441,Spiny_Dogfish,10,2237368.005684
442,Striped_Bass,1,465883519.171
443,Striped_Bass,2,297060447.1911
444,Striped_Bass,3,189414103.8626
445,Striped_Bass,4,120775764.9507
446,Striped_Bass,5,77010027.7628
447,Striped_Bass,6,49103761.6552
448,Striped_Bass,7,31309940.78104
449,Striped_Bass,8,19964099.66828
450,Striped_Bass,9,12729671.97101
451,Striped_Bass,10,8116797.20936
452,Summerflounder,1,106249568.8021
453,Summerflounder,2,67747716.1667
454,Summerflounder,3,43197851.0383
455,Summerflounder,4,27544165.90885
456,Summerflounder,5,17562935.59648
457,Summerflounder,6,11198622.16181
458,Summerflounder,7,7140556.74965
459,Summerflounder,8,4553020.00198
460,Summerflounder,9,2903133.728179
461,Summerflounder,10,1851119.792992
462,Tautog,1,465883519.171
463,Tautog,2,297060447.1911
464,Tautog,3,189414103.8626
465,Tautog,4,120775764.9507
466,Tautog,5,77010027.7628
467,Tautog,6,49103761.6552
468,Tautog,7,31309940.78104
469,Tautog,8,19964099.66828
470,Tautog,9,12729671.97101
471,Tautog,10,8116797.20936
472,Tilefish,1,465883519.171
473,Tilefish,2,297060447.1911
474,Tilefish,3,189414103.8626
475,Tilefish,4,120775764.9507
476,Tilefish,5,77010027.7628
477,Tilefish,6,49103761.6552
478,Tilefish,7,31309940.78104
479,Tilefish,8,19964099.66828
480,Tilefish,9,12729671.97101
481,Tilefish,10,8116797.20936
482,Tooth_Whale,1,12933.1591972
483,Tooth_Whale,2,8246.5463933
484,Tooth_Whale,3,5258.2301342
485,Tooth_Whale,4,3352.79556085
486,Tooth_Whale,5,2137.8368366
487,Tooth_Whale,6,1363.14495052
488,Tooth_Whale,7,869.17959525
489,Tooth_Whale,8,554.21337865
490,Tooth_Whale,9,353.38205232
491,Tooth_Whale,10,225.326344799
492,Tunas,1,17500.9509641
493,Tunas,2,11159.0990168
494,Tunas,3,7115.3556807
495,Tunas,4,4536.95109055
496,Tunas,5,2892.88773773
497,Tunas,6,1844.58666111
498,Tunas,7,1176.16038317
499,Tunas,8,749.952971205
500,Tunas,9,478.191126745
501,Tunas,10,304.908124328
502,Turtle,1,4377.88766273
503,Turtle,2,2791.464418392
504,Turtle,3,1779.916297145
505,Turtle,4,1134.924739084
506,Turtle,5,723.659963272
507,Turtle,6,461.425964913
508,Turtle,7,294.218185129
509,Turtle,8,187.601797541
510,Turtle,9,119.620187405
511,Turtle,10,76.273198978
512,White_Hake,1,15543009.074132
