Species,Cohort,N.Type,RN,SN,weight mg,g,kg,weight (lbs)
Pisciv_D_Fish,3,Reserve,2093.378996,789.9543381,328700.00008341,328.7000000834,0.3287000001,0.7246585942
Pisciv_D_Fish,4,Reserve,4875.210285,1839.701994,765499.9997034,765.4999997034,0.7654999997,1.6876366093
Pisciv_D_Fish,5,Reserve,10307.04158,3889.449651,1618399.9997811,1618.3999997811,1.6183999998,3.5679570075
Pisciv_D_Fish,6,Reserve,16994.13603,6412.881519,2668400.0000559,2668.4000000559,2.6684000001,5.8828080081
Pisciv_D_Fish,7,Reserve,25153.66498,9491.949049,3949599.9992889,3949.5999992889,3.9495999993,8.7073671504
Pisciv_D_Fish,8,Reserve,39073.0113,14744.53257,6135200.002377,6135.200002377,6.1352000024,13.5257846292
Pisciv_D_Fish,9,Reserve,56862.80541,21457.66242,8928533.332962,8928.533332962,8.928533333,19.6840231565
Pisciv_D_Fish,10,Reserve,92059.00024,34739.24537,14454999.998457,14454.999998457,14.4549999985,31.8677820966
Pisciv_O_Fish,1,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,2,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,3,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,4,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,5,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,6,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,7,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,8,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,9,Reserve,0,0,0,0,0,0
Pisciv_O_Fish,10,Reserve,0,0,0,0,0,0
Pisciv_S_Fish,1,Reserve,713.9269407,269.4063927,112100.00000247,112.1000000025,0.1121,0.247137902
Pisciv_S_Fish,2,Reserve,3072.24225,1159.336698,482400.0000378,482.4000000378,0.4824,1.0635086881
Pisciv_S_Fish,3,Reserve,8231.494833,3106.224465,1292499.9998865,1292.4999998865,1.2924999999,2.8494713497
Pisciv_S_Fish,4,Reserve,15891.72074,5996.875751,2495299.9999911,2495.2999999911,2.4953,5.501188286
Pisciv_S_Fish,5,Reserve,20384.17447,7692.14131,3200699.999091,3200.699999091,3.2006999991,7.056327232
Pisciv_S_Fish,6,Reserve,26877.02475,10142.27349,4220199.999189,4220.199999189,4.2201999992,9.3039373222
Pisciv_S_Fish,7,Reserve,30189.36555,11392.21341,4740299.999901,4740.299999901,4.7402999999,10.4505601858
Pisciv_S_Fish,8,Reserve,33853.25642,12774.81374,5315599.997214,5315.599997214,5.3155999972,11.7188780659
Pisciv_S_Fish,9,Reserve,36734.43884,13862.05239,5767999.999479,5767.999999479,5.7679999995,12.7162481589
Pisciv_S_Fish,10,Reserve,37575.10214,14179.28383,5900000.001663,5900.000001663,5.9000000017,13.0072580037
Pisciv_T_Fish,1,Reserve,2197.74442,829.488459,345150.1477899,345.1501477899,0.3451501478,0.7609249188
Pisciv_T_Fish,2,Reserve,179418.2774,67705.01032,28172054.794152,28172.054794152,28.1720547942,62.1086754403
Pisciv_T_Fish,3,Reserve,329747.72,124433.1019,51776613.70059,51776.61370059,51.7766137006,114.1477580966
Pisciv_T_Fish,4,Reserve,418104.2597,157775.1923,65650257.51603,65650.25751603,65.650257516,144.733870725
Pisciv_T_Fish,5,Reserve,462431.7133,174502.5333,72610504.10613,72610.50410613,72.6105041061,160.0785695625
Pisciv_T_Fish,6,Reserve,483323.4003,182386.1888,75890893.15968,75890.89315968,75.8908931597,167.3105808777
Pisciv_T_Fish,7,Reserve,492910.9401,186004.1284,77396317.82724,77396.31782724,77.3963178272,170.6294702083
Pisciv_T_Fish,8,Reserve,497259.1481,187644.9615,78079068.48015,78079.06848015,78.0790684802,172.1346759527
Pisciv_T_Fish,9,Reserve,499222.4057,188385.8135,78387336.99735,78387.33699735,78.3873369974,172.8142908911
Pisciv_T_Fish,10,Reserve,500103.5842,188718.3336,78525698.61096,78525.69861096,78.525698611,173.1193256717
Pisciv_V_Fish,1,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,2,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,3,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,4,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,5,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,6,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,7,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,8,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,9,Reserve,0,0,0,0,0,0
Pisciv_V_Fish,10,Reserve,0,0,0,0,0,0
Planktiv_L_Fish,1,Reserve,64.84,24.46,10177.806,10.177806,0.010177806,0.0224381947
Planktiv_L_Fish,2,Reserve,82.79,31.24,12998.964,12.998964,0.012998964,0.028657776
Planktiv_L_Fish,3,Reserve,160.73,60.65,25236.465,25.236465,0.025236465,0.0556368155
Planktiv_L_Fish,4,Reserve,609.67,230.06,95727.966,95.727966,0.095727966,0.2110437884
Planktiv_L_Fish,5,Reserve,1160.21,437.81,182172.741,182.172741,0.182172741,0.4016216683
Planktiv_L_Fish,6,Reserve,1321.3,498.6,207467.46,207.46746,0.20746746,0.4573869117
Planktiv_L_Fish,7,Reserve,1541.12,581.55,241982.955,241.982955,0.241982955,0.5334804623
Planktiv_L_Fish,8,Reserve,1610.16,607.61,252826.521,252.826521,0.252826521,0.5573864047
Planktiv_L_Fish,9,Reserve,1866.37,704.28,293050.908,293.050908,0.293050908,0.6460658928
Planktiv_L_Fish,10,Reserve,2012.27,759.34,315961.374,315.961374,0.315961374,0.6965747643
Planktiv_O_Fish,1,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,2,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,3,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,4,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,5,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,6,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,7,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,8,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,9,Reserve,0,0,0,0,0,0
Planktiv_O_Fish,10,Reserve,0,0,0,0,0,0
Planktiv_S_Fish,1,Reserve,44.58062965,16.82287911,6999.999997671,6.9999999977,0.007,0.01543234
Planktiv_S_Fish,2,Reserve,87.37803414,32.97284307,13720.000001427,13.7200000014,0.01372,0.0302473864
Planktiv_S_Fish,3,Reserve,242.4549388,91.49242972,38070.000006492,38.0700000065,0.03807,0.0839298834
Planktiv_S_Fish,4,Reserve,523.6950253,197.6207643,82230.00002523,82.2300000252,0.08223,0.1812859027
Planktiv_S_Fish,5,Reserve,758.8896899,286.3734679,119159.99999319,119.1599999932,0.11916,0.2627025192
Planktiv_S_Fish,6,Reserve,942.7529441,355.755828,148030.0000308,148.0300000308,0.14803,0.3263498987
Planktiv_S_Fish,7,Reserve,1108.5292,418.3129055,174059.99997855,174.0599999786,0.17406,0.3837361572
Planktiv_S_Fish,8,Reserve,1207.052391,455.4914684,189530.00000124,189.5300000012,0.18953,0.4178416286
Planktiv_S_Fish,9,Reserve,1378.305696,520.1153569,216420.00000609,216.4200000061,0.21642,0.4771238604
Planktiv_S_Fish,10,Reserve,1716.195025,647.6207643,269475.00002523,269.4750000252,0.269475,0.5940899746
Reptile,1,Reserve,5263,1466,610002.6,610.0026,0.6100026,1.344823932
Reptile,2,Reserve,32000,12000,4993200,4993.2,4.9932,11.008108584
Reptile,3,Reserve,62064.40233,23420.52918,9745282.191798,9745.282191798,9.7452821918,21.4846440257
Reptile,4,Reserve,83000,31200,12982320,12982.32,12.98232,28.6210823184
Reptile,5,Reserve,109000,40855,16999765.5,16999.7655,16.9997655,37.4780230166
Reptile,6,Reserve,127000,48000,19972800,19972.8,19.9728,44.032434336
Reptile,7,Reserve,160000,60000,24966000,24966,24.966,55.04054292
Reptile,8,Reserve,191000,72000,29959200,29959.2,29.9592,66.048651504
Reptile,9,Reserve,223000,84000,34952400,34952.4,34.9524,77.056760088
Reptile,10,Reserve,265000,100000,41610000,41610,41.61,91.7342382
Seabird,1,Reserve,29170.38844,11007.69375,4580301.369375,4580.301369375,4.5803013694,10.097824005
Seabird,2,Reserve,62064.40233,23420.52918,9745282.191798,9745.282191798,9.7452821918,21.4846440257
Seabird,3,Reserve,70112.3663,26457.49672,11008964.385192,11008.964385192,11.0089643852,24.2705830629
Seabird,4,Reserve,71687.74629,27051.97973,11256328.765653,11256.328765653,11.2563287657,24.8159275233
Seabird,5,Reserve,71980.14637,27162.31938,11302241.094018,11302.241094018,11.302241094,24.9171467607
Seabird,6,Reserve,72033.85251,27182.58585,11310673.972185,11310.673972185,11.3106739722,24.9357380526
Seabird,7,Reserve,72045.7872,27187.08951,11312547.945111,11312.547945111,11.3125479451,24.9398694508
Seabird,8,Reserve,72047.77632,27187.84012,11312860.273932,11312.860273932,11.3128602739,24.9405580171
Seabird,9,Reserve,72049.76543,27188.59073,11313172.602753,11313.172602753,11.3131726028,24.9412465835
Seabird,10,Reserve,72051.75455,27189.34134,11313484.931574,11313.484931574,11.3134849316,24.9419351498
Shark_B,1,Reserve,911.0151998,343.7793207,143046.57534327,143.0465753433,0.1430465753,0.3153633409
Shark_B,2,Reserve,5153.799963,1944.830175,809243.8358175,809.2438358175,0.8092438358,1.7840751453
Shark_B,3,Reserve,12764.15838,4816.663539,2004213.6985779,2004.2136985779,2.0042136986,4.4185296042
Shark_B,4,Reserve,22695.81535,8564.458623,3563671.2330303,3563.6712330303,3.563671233,7.8565408738
Shark_B,5,Reserve,33795.08351,12752.8617,5306465.75337,5306.46575337,5.3064657534,11.6987405292
Shark_B,6,Reserve,45142.99118,17035.09101,7088301.369261,7088.301369261,7.0883013693,15.6270109647
Shark_B,7,Reserve,56093.07562,21167.19835,8807671.233435,8807.671233435,8.8076712334,19.4175681547
Shark_B,8,Reserve,66237.56802,24995.30869,10400547.945909,10400.547945909,10.4005479459,22.9292560125
Shark_B,9,Reserve,75379.54588,28445.11165,11836010.957565,11836.010957565,11.8360109576,26.0939064773
Shark_B,10,Reserve,83451.37925,31491.08651,13103441.096811,13103.441096811,13.1034410968,28.8881083109
Shark_C,1,Reserve,0,0,0,0,0,0
Shark_C,2,Reserve,0,0,0,0,0,0
Shark_C,3,Reserve,0,0,0,0,0,0
Shark_C,4,Reserve,0,0,0,0,0,0
Shark_C,5,Reserve,0,0,0,0,0,0
Shark_C,6,Reserve,0,0,0,0,0,0
Shark_C,7,Reserve,0,0,0,0,0,0
Shark_C,8,Reserve,0,0,0,0,0,0
Shark_C,9,Reserve,0,0,0,0,0,0
Shark_C,10,Reserve,0,0,0,0,0,0
Shark_D,1,Reserve,2172.114843,819.6659786,341063.01369546,341.0630136955,0.3410630137,0.7519143413
Shark_D,2,Reserve,8242.897354,3110.527303,1294290.4107783,1294.2904107783,1.2942904108,2.8534185254
Shark_D,3,Reserve,13480.2402,5086.883093,2116652.0549973,2116.6520549973,2.116652055,4.6664134535
Shark_D,4,Reserve,16754.32539,6322.386939,2630745.2053179,2630.7452053179,2.6307452053,5.7997934945
Shark_D,5,Reserve,18558.45374,7003.190092,2914027.3972812,2914.0273972812,2.9140273973,6.4243230806
Shark_D,6,Reserve,19503.28392,7359.72978,3062383.561458,3062.383561458,3.0623835615,6.7513920473
Shark_D,7,Reserve,19891.16157,7506.098705,3123287.6711505,3123.2876711505,3.1232876712,6.8856624656
Shark_D,8,Reserve,20229.31132,7633.702383,3176383.5615663,3176.3835615663,3.1763835616,7.0027187275
Shark_D,9,Reserve,20348.65828,7678.738975,3195123.2874975,3195.1232874975,3.1951232875,7.0440327021
Shark_D,10,Reserve,20408.33177,7701.257272,3204493.1508792,3204.4931508792,3.2044931509,7.0646896903
Shark_P,1,Reserve,3590.52486,1355.00938,563819.403018,563.819403018,0.563819403,1.2430075323
Shark_P,2,Reserve,23901.1974,9019.28204,3752923.256844,3752.923256844,3.7529232568,8.2737696705
Shark_P,3,Reserve,55245.1214,20847.3854,8674597.06494,8674.59706494,8.6745970649,19.1241901813
Shark_P,4,Reserve,87183.5571,32899.0593,13689298.57473,13689.29857473,13.6892985747,30.1797014238
