Species,Cohort,SN,RN
Monkfish,1,32.68445085,86.61379476
Monkfish,2,155.0108147,410.778659
Monkfish,3,455.6596972,1207.498198
Monkfish,4,1113.434271,2950.600817
Monkfish,5,2142.033165,5676.387887
Monkfish,6,4036.770007,10697.44052
Monkfish,7,6590.963711,17466.05383
Monkfish,8,10846.19082,28742.40567
Monkfish,9,18022.11007,47758.59168
Monkfish,10,27537.01034,72973.07739
Ocean_Pout,1,127.5414564,337.9848595
Ocean_Pout,2,347.4885845,920.8447489
Ocean_Pout,3,732.4200913,1940.913242
Ocean_Pout,4,1115.200673,2955.281782
Ocean_Pout,5,1550.432588,4108.646359
Ocean_Pout,6,1976.435953,5237.555275
Ocean_Pout,7,2275.666907,6030.517304
Ocean_Pout,8,2451.333814,6496.034608
Ocean_Pout,9,2643.59529,7005.527518
Ocean_Pout,10,3076.18361,8151.886566
Offshore_Hake,1,127.5414564,337.9848595
Offshore_Hake,2,347.4885845,920.8447489
Offshore_Hake,3,732.4200913,1940.913242
Offshore_Hake,4,1115.200673,2955.281782
Offshore_Hake,5,1550.432588,4108.646359
Offshore_Hake,6,1976.435953,5237.555275
Offshore_Hake,7,2275.666907,6030.517304
Offshore_Hake,8,2451.333814,6496.034608
Offshore_Hake,9,2643.59529,7005.527518
Offshore_Hake,10,3076.18361,8151.886566
Other_Flatfish,1,476.0273973,1261.472603
Other_Flatfish,2,1129.488104,2993.143474
Other_Flatfish,3,1548.906513,4104.60226
Other_Flatfish,4,2095.457822,5552.96323
Other_Flatfish,5,2636.890171,6987.758953
Other_Flatfish,6,2919.850997,7737.605143
Other_Flatfish,7,3445.56597,9130.749819
Other_Flatfish,8,3970.920452,10522.9392
Other_Flatfish,9,4109.589041,10890.41096
Other_Flatfish,10,4373.94857,11590.96371
Pelagic_Shark,1,1355.00938,3590.52486
Pelagic_Shark,2,9019.28204,23901.1974
Pelagic_Shark,3,20847.3854,55245.1214
Pelagic_Shark,4,32899.0593,87183.5571
Pelagic_Shark,5,43204.5378,114492.325
Pelagic_Shark,6,51223.1927,135742.561
Pelagic_Shark,7,57132.7029,151401.763
Pelagic_Shark,8,61342.9118,162558.266
Pelagic_Shark,9,64280.7821,170344.273
Pelagic_Shark,10,66302.7108,175702.084
Pinniped,1,9202.477013,24386.56408
Pinniped,2,68782.88609,182274.6482
Pinniped,3,123834.1152,328160.4053
Pinniped,4,155824.3573,412934.5468
Pinniped,5,171800.3378,455270.8951
Pinniped,6,179314.6932,475183.9369
Pinniped,7,182759.9925,484313.9801
Pinniped,8,184322.0116,488453.3308
Pinniped,9,185026.8343,490321.1109
