|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|isFishedSpecies|
|SDF|Atlantic states demersal fish|American eel|ANGUILLA ROSTRATA|384|115|161127|FALSE|
|SG|Seagrass|Seagrass|NA|NA|NA|NA|FALSE|
|SHK|Silver hake|Silver hake|MERLUCCIUS BILINEARIS|72|509|164791|TRUE|
|SK|Northeast skate complex|Barndoor skate|DIPTURUS LAEVIS|22|368|564139|FALSE|
|SK|Northeast skate complex|Clearnose skate|RAJA EGLANTERIA|24|372|160855|FALSE|
|SK|Northeast skate complex|Rosette skate|LEUCORAJA GARMANI|25|364|564136|FALSE|
|SK|Northeast skate complex|Smooth skate|MALACORAJA SENTA|27|369|564151|FALSE|
|SK|Northeast skate complex|Thorny skate|AMBLYRAJA RADIATA|28|370|564149|FALSE|
|SK|Northeast skate complex|Atlantic torpedo|OSTEICHTHYES|21|526|161030|FALSE|
|SK|Northeast skate complex|Bullnose ray|NA|19|NA|NA|FALSE|
|SK|Northeast skate complex|Cownose ray|RHINOPTERA BONASUS|270|285|160985|FALSE|
|SK|Northeast skate complex|Spotted eagle ray|NA|271|NA|NA|FALSE|
|SK|Northeast skate complex|Bluntnose stingray|NA|18|NA|NA|FALSE|
|SK|Northeast skate complex|Roughtail stingray|NA|4|NA|NA|FALSE|
|SK|Northeast skate complex|Atlantic stingray|DASYATIDAE|373|286|160946|FALSE|
|SK|Northeast skate complex|Yellow stingray|NA|377|NA|NA|FALSE|
|SMO|Smooth dogfish|Smooth dogfish|MUSTELUS CANIS|13|351|160230|TRUE|
|SSH|Sandbar shark|Sandbar shark|CARCHARHINUS PLUMBEUS|9|482|160289|TRUE|
|STB|Striped bass|Striped bass|MORONE SAXATILIS|139|418|167680|TRUE|
|SUF|Summer flounder|Summer flounder|PARALICHTHYS DENTATUS|103|121|172735|TRUE|
|SWH|Small toothed whales|Small toothed whales|NA|NA|NA|NA|TRUE|
|TAU|Tautog|Tautog|TAUTOGA ONITIS|177|438|170479|TRUE|
|TUN|Other tunas|Albacore|THUNNUS ALALUNGA|703|470|172419|FALSE|
|TUN|Other tunas|Bigeye tuna|THUNNUS OBESUS|706|469|172428|FALSE|
|TUN|Other tunas|Blackfin tuna|THUNNUS ATLANTICUS|705|464|172427|FALSE|
