"pred.names","MAK","HER","WHK","BLF","WPF","SUF","WIF","WTF","FOU","HAL","PLA","FLA","BFT","TUN","BIL","MPF","BUT","BPF","ANC","GOO","MEN","FDE","COD","SHK","OHK","POL","RHK","BSB","SCU","TYL","RED","OPT","SAL","DRM","STB","TAU","WOL","SDF","FDF","HAD","YTF","DOG","SMO","SSH","DSH","BLS","POR","PSH","WSK","LSK","SK","SB","PIN","REP","RWH","BWH","SWH","TWH","INV","LSQ","ISQ","SCA","QHG","CLA","BFF","BG","LOB","RCB","BMS","NSH","OSH","ZL","BD","MA","MB","SG","BC","ZG","PL","DF","PS","ZM","ZS","PB","BB","BO","DL","DR","DC","DLsed","DRsed","DCsed"
"2WTF2","0.06","0.03","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.1875","0.075","0.075","0","0.0325","0.065","0","0.06","0.06","0","0.06","0","0","0","0","0","0","0","0","0","0","0.12","0.12","0","0.12","0","0","0","0","0","0","0","0.03","0.06","0.06","0","0","0","0","0","0","0","0.1125","0.05","0.05","0","0","0","0.0375","0.015","0.002","0.01","0.01","0.03","0.03375","1.5e-05","0.0375","0","0","0","0.0025","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1FOU1","0","5e-04","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0.03","0.075","0.025","0.025","0","0.01","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.03","0.06","0","0.005","0.005","0.18","0.06","1e-04","0.025","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2FOU1","0","5e-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.075","0.025","0.025","0","0.01","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.03","0.06","0","0.005","0.005","0.18","0.06","1e-05","0.025","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1FOU2","0","5e-04","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0.03","0.075","0.025","0.025","0","0.01","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.027","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.03","0.06","0","0.005","0.005","0.18","0.06","1e-04","0.025","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2FOU2","0","5e-04","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.02","0.075","0.075","0.075","0","0.015","0.065","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0.03","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.03","0.06","0","0.005","0.005","0.18","0.06","1e-05","0.025","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1HAL1","0.06","0.01","0.105","0.07875","0.1299239","0.0325","0.1299239","0.1299239","0.1299239","0.01","0.1299239","0.1299239","0","0","0","0.05","0.075","0.025","0.025","0.025","0.025","0.025","0.081","0.12","0.1","0.1","0.144","0.1","0.1","0.1","0.1","0.18","0.0125","0.05","0.1","0.1","0.1","0.1","0.108","0.126","0.125","0.09","0","0","0","0","0","0","0","0","0.09","0","0","0","0","0","0","0","0.09","0.05","0.06","3e-06","0.01","0.01","0.036","0.1","0.005","0.01","0.01","0.042","0.18","0.00027","0.06","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2HAL1","0.06","0.001","0.105","0.05","0.15","0.0375","0.15","0.15","0.15","0","0.15","0.15","0","0","0","0.05","0.075","0.025","0.025","0.05","0.025","0.025","0.081","0.13875","0.09","0.09","0.144","0.09","0.09","0.09","0.09","0.09","0.005","0.045","0.09","0.09","0.09","0.09","0.108","0","0.125","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0.09","0.05","0.06","3e-06","0.01","0.01","0.036","0.03","0.004","0.01","0.01","0.042","0.18","2.5e-05","0.06","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1HAL2","0.09","0.025","0.17","0.15","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0","0","0","0.02","0.075","0.06","0.06","0.045","0.0325","0.065","0.081","0.1285","0.1125","0.1125","0.144","0.1125","0.1125","0.1125","0.1125","0.18","0.0125","0.05625","0.1125","0.1125","0.1125","0.1125","0.108","0.126","0.1","0.09","0","0","0","0","0","0","0.1","0.1","0.09","0","0","0","0","0","0","0","0.09","0.05","0.06","3e-06","0.01","0.01","0.036","0.1","0.005","0.01","0.01","0.042","0.18","0.00027","0.06","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2HAL2","0.09","0.025","0.135","0.25","0.05","0.05","0.05","0.05","0.05","0.01","0.05","0.05","0","0","0","0.02","0.075","0.075","0.075","0.0375","0.0325","0.065","0.081","0.1375","0.12","0.12","0.144","0.12","0.12","0.12","0.12","0.18","0.005","0.06","0.12","0.12","0.12","0.12","0.108","0.126","0.12","0.01","0","0","0","0","0","0","0.12","0.12","0.12","0","0","0","0","0","0","0","0.09","0.05","0.06","3e-06","0.01","0.01","0.036","0.03","0.004","0.01","0.01","0.042","0.18","2.5e-05","0.06","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1PLA1","0","0.012","0","0","0.05","0.05","0.05","0.05","0.05","0","0.1299239","0.1299239","0","0","0","0.05","0.075","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.09","0","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0","0","0","0.06","0.02","0","0","0","0.042","0.06","0.00015","0.06","0","0","0","0.0025","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
