"agecl","box","measurement","Code"
10,"2",14.7451128127824,"BIL"
1,"3",34.1364721108427,"BIL"
2,"3",76.4774731392145,"BIL"
3,"3",326.030827749301,"BIL"
4,"3",259.10183912253,"BIL"
5,"3",200.146987025589,"BIL"
6,"3",160.045911988743,"BIL"
7,"3",102.58861041185,"BIL"
8,"3",75.2359141610548,"BIL"
9,"3",49.5215637783466,"BIL"
10,"3",14.7451128127824,"BIL"
1,"4",34.1364721108427,"BIL"
2,"4",76.4774731392145,"BIL"
3,"4",326.030827749301,"BIL"
4,"4",259.10183912253,"BIL"
5,"4",200.146987025589,"BIL"
6,"4",160.045911988743,"BIL"
7,"4",102.58861041185,"BIL"
8,"4",75.2359141610548,"BIL"
9,"4",49.5215637783466,"BIL"
10,"4",14.7451128127824,"BIL"
1,"5",34.1364721108427,"BIL"
2,"5",76.4774731392145,"BIL"
3,"5",326.030827749301,"BIL"
4,"5",259.10183912253,"BIL"
5,"5",200.146987025589,"BIL"
6,"5",160.045911988743,"BIL"
7,"5",102.58861041185,"BIL"
8,"5",75.2359141610548,"BIL"
9,"5",49.5215637783466,"BIL"
10,"5",14.7451128127824,"BIL"
1,"6",60.9400357336555,"BIL"
2,"6",136.526701728006,"BIL"
3,"6",582.026468019375,"BIL"
4,"6",462.545610557326,"BIL"
5,"6",357.300089526498,"BIL"
6,"6",285.712113540918,"BIL"
7,"6",183.140002401668,"BIL"
8,"6",134.310284980288,"BIL"
9,"6",88.4053236796075,"BIL"
10,"6",26.3228050863034,"BIL"
1,"7",60.9400357336555,"BIL"
2,"7",136.526701728006,"BIL"
3,"7",582.026468019375,"BIL"
4,"7",462.545610557326,"BIL"
5,"7",357.300089526498,"BIL"
6,"7",285.712113540918,"BIL"
7,"7",183.140002401668,"BIL"
8,"7",134.310284980288,"BIL"
9,"7",88.4053236796075,"BIL"
10,"7",26.3228050863034,"BIL"
1,"8",164.53809646751,"BIL"
2,"8",368.622094635686,"BIL"
3,"8",1571.47146352472,"BIL"
4,"8",1248.87314840338,"BIL"
5,"8",964.710241643217,"BIL"
6,"8",771.422706497844,"BIL"
7,"8",494.478006444355,"BIL"
8,"8",362.637769417333,"BIL"
9,"8",238.69437391556,"BIL"
10,"8",71.0715737272486,"BIL"
1,"9",60.9400357336555,"BIL"
2,"9",136.526701728006,"BIL"
3,"9",582.026468019375,"BIL"
4,"9",462.545610557326,"BIL"
5,"9",357.300089526498,"BIL"
6,"9",285.712113540918,"BIL"
7,"9",183.140002401668,"BIL"
8,"9",134.310284980288,"BIL"
9,"9",88.4053236796075,"BIL"
10,"9",26.3228050863034,"BIL"
1,"10",165.645227767474,"BIL"
2,"10",371.102450660165,"BIL"
3,"10",1582.04545995242,"BIL"
4,"10",1257.27647007761,"BIL"
5,"10",971.201509786276,"BIL"
6,"10",776.613396327147,"BIL"
7,"10",497.805212057108,"BIL"
8,"10",365.077858574134,"BIL"
