pred.names,prey.names,R/J,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,final.value
ZS,POL,J,0,0.001,0.001,0.001
2WTF1,RHK,J,0.05,0,0,0
2WTF2,RHK,J,0.06,0,0,0
1GOO1,RHK,J,0.005,0.05,0.05,0.05
2GOO1,RHK,J,0.005,0.05,0.05,0.05
1GOO2,RHK,J,0.005,0.1,0.1,0.1
2GOO2,RHK,J,0.005,0.1,0.1,0.1
1SHK1,RHK,J,0.025,0.05,0.05,0.05
2SHK1,RHK,J,0.035,0.07,0.07,0.07
1SHK2,RHK,J,0.04,0.08,0.08,0.08
2SHK2,RHK,J,0.005,0.01,0.01,0.01
1GOO1,BSB,J,0,0.05,0.05,0.05
2GOO1,BSB,J,0,0.05,0.05,0.05
1GOO2,BSB,J,0,0.1,0.1,0.1
2GOO2,BSB,J,0,0.1,0.1,0.1
1SHK1,BSB,J,0.025,0.05,0.05,0.05
2SHK1,BSB,J,0.035,0.07,0.07,0.07
1SHK2,BSB,J,0.04,0.08,0.08,0.08
2SHK2,BSB,J,0.005,0.01,0.01,0.01
1SHK1,SCU,J,0.0125,0.05,0.05,0.05
2SHK1,SCU,J,0.015,0.07,0.07,0.07
1SHK2,SCU,J,0.02,0.08,0.08,0.08
2SHK2,SCU,J,0.0025,0.01,0.01,0.01
1STB1,SCU,J,0.07,0.15,0.15,0.15
2STB1,SCU,J,0.065,0.135,0.135,0.135
1STB2,SCU,J,0.06,0.12,0.12,0.12
2STB2,SCU,J,0.1,0.2,0.2,0.2
1HER1,TYL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,TYL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,TYL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,TYL,J,0,1.00E-05,1.00E-05,0.00001
SCA,TYL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,TYL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,TYL,R,0.25,0,0,0
ZM,TYL,J,0,0.05,0.05,0.05
ZS,TYL,J,0,0.001,0.001,0.001
1ANC2,RED,J,0.005,0,0,0
1WSK1,OPT,J,0.025,0.05,0.05,0.05
2WSK1,OPT,J,0.12,0.24,0.24,0.24
1WSK2,OPT,J,0.12,0.24,0.24,0.24
